Year,Team,Games Won,GP,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,,,,,,
2011-2012,Toronto Raptors 2012,23,66,90.7,34.4,78.1,44,5.5,16.3,34,16.4,21.4,76.9,10.6,31.4,42,20.9,6.5,4.9,15.2,23.2,,,,,,
2011-2012,New Orleans Hornets 2012,7,66,89.6,34.8,77.3,45.1,3.9,11.8,33.3,16,21.2,75.7,11,30.2,41.1,20.7,7.4,4.8,15.5,20.1,,,,,,
2011-2012,Charlotte Bobcats 2012,21,66,87,33.2,80.2,41.4,4,13.5,29.5,16.5,22.2,74.6,10.3,28.7,39,20.1,6,5.5,14.5,,,,,,,
2010-2011,Denver Nuggets 2011,50,82,107.5,38.4,80.6,47.6,8.1,20.8,38.8,22.7,29.6,76.5,9.6,32.3,42,22.1,7.4,4.3,14.1,21,,,,,,
2010-2011,New York Knicks 2011,42,82,106.5,38.3,83.7,45.7,9.3,25.4,36.8,20.6,25.5,80.9,10.3,30.1,40.5,21.4,7.6,5.8,13.7,21.3,,,,,,
2010-2011,Houston Rockets 2011,43,82,105.9,38.7,85.1,45.4,8.3,22.5,36.7,20.3,25.4,80.1,11.7,31.1,42.8,23.8,7.1,4.5,13.5,20,,,,,,
2010-2011,Phoenix Suns 2011,40,82,105,39.3,83.5,47,8.5,22.6,37.7,18,23.6,75.9,10,30.2,40.2,23.7,6.6,4.4,14.3,20.3,,,,,,
2010-2011,Oklahoma City Thunder 2011,55,82,104.8,37.4,80.6,46.4,5.9,17.1,34.7,24.1,29.3,82.3,11,31.8,42.8,20.4,8,5.9,14.1,22.4,,,,,,
2010-2011,San Antonio Spurs 2011,61,82,103.7,38.4,80.8,47.5,8.4,21.1,39.7,18.5,24.2,76.7,10.1,31.7,41.9,22.4,7.3,4.5,13.4,19,,,,,,
2010-2011,Golden State Warriors 2011,36,82,103.4,39.6,85.9,46.1,8.4,21.3,39.2,15.7,20.7,76.1,11.6,28.9,40.5,22.5,9,5,14.6,22,,,,,,
